Price,Close,High,Low,Open,Volume,MA_20,MA_50,Daily_Return
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
Date,,,,,,,,
2025-01-07,1235.913818359375,1239.5493228115217,1216.3918123612464,1217.1388288273843,10070505,1234.2330993652345,1268.7069091796875,1.8760205607393887
2025-01-08,1260.4658203125,1265.9937909556584,1240.395953024955,1244.0314575822304,19346579,1233.2694519042968,1267.4648706054688,1.986546439436765
2025-01-09,1249.758544921875,1264.6988742096441,1243.0852464738894,1261.9598138402198,12794704,1232.1016174316405,1265.8792041015624,-0.8494697133453744
2025-01-10,1236.959716796875,1251.750618829338,1231.0831628192257,1248.8621307808614,8120332,1231.0557922363282,1263.925009765625,-1.024104070102605
2025-01-13,1234.9178466796875,1240.2963897717905,1221.5213994754447,1225.1070543419412,13764861,1229.412353515625,1261.8522875976562,-0.16507167448225335
2025-01-14,1233.822265625,1248.3641626627486,1222.3680125031533,1239.1509590647415,13095266,1227.9407287597655,1259.9937109375,-0.08871691810375948
2025-01-15,1247.2186279296875,1251.9995818882041,1236.90982514039,1239.9974688456068,9578856,1228.2843505859375,1258.2715869140625,1.0857611082177643
2025-01-16,1261.4119873046875,1269.9280238633037,1246.3223515830243,1253.8920943102864,14117603,1228.9417236328125,1257.5604248046875,1.138000913164694
2025-01-17,1297.169189453125,1320.7251333812799,1279.888232575373,1316.9900509904955,29366277,1232.5224243164062,1257.5016577148438,2.8346965549963965
2025-01-20,1300.2568359375,1310.764916385877,1295.0775703121099,1310.764916385877,14040244,1237.5099975585938,1257.1052392578124,0.2380295885440198
2025-01-21,1268.6331787109375,1307.776892128252,1265.1471016946018,1305.2868371165837,14562976,1240.0697692871095,1256.468779296875,-2.432108515219722
2025-01-22,1272.0196533203125,1277.7966294698952,1263.6530443254642,1273.2149526536994,10273590,1242.7764587402344,1256.33630859375,0.26693883355755066
2025-01-23,1258.6231689453125,1272.2686211078578,1256.581275301743,1264.9478840486133,8720682,1245.122088623047,1256.1560302734374,-1.0531664616998282
2025-01-24,1241.34228515625,1267.9360243063209,1238.5533748820974,1260.9638702056575,14235970,1246.3795654296875,1255.5992553710937,-1.3729990211083898
2025-01-27,1224.4595947265625,1235.515414368934,1215.1468135462453,1234.1708090151494,9536019,1247.3083557128907,1255.147060546875,-1.3600350710330056
2025-01-28,1229.4896240234375,1239.7984277662488,1213.6528493538253,1233.0752790316255,10568025,1248.2520935058594,1254.485703125,0.4107958579064652
2025-01-29,1230.585205078125,1237.8063647194172,1223.1648896668228,1231.0832160878692,5928156,1248.9617614746094,1253.9827124023439,0.08910860517084007
2025-01-30,1248.0654296875,1251.9996679975989,1227.497550840604,1230.635044492625,9269259,1249.5220275878905,1254.2098071289063,1.4204806410186954
2025-01-31,1260.0673828125,1261.9598488917904,1244.0314532484974,1250.8541794958078,6584612,1250.216748046875,1255.04845703125,0.9616445451906319
2025-02-01,1259.5693359375,1265.495739501575,1236.0632421918099,1260.0673469134033,7118453,1252.5374755859375,1255.03251953125,-0.03952541600500403
2025-02-03,1240.94384765625,1251.003645649064,1232.6270881824535,1246.0235355947286,9252345,1252.7889770507813,1254.2137915039064,-1.4787187771117871
2025-02-04,1280.08740234375,1283.6731787459128,1241.6409781641657,1243.0852829885687,16691069,1253.7700561523438,1254.0046264648438,3.1543373023227295
2025-02-05,1273.115234375,1285.366353249074,1271.6212014188793,1277.5476050956522,10112028,1254.937890625,1253.7058203125,-0.5446634312613718
2025-02-06,1276.4520263671875,1282.8763195509282,1265.2965071593937,1268.6331564996678,9956001,1256.9125061035156,1253.9199658203124,0.2620966195432839
2025-02-07,1261.6610107421875,1278.5933846345008,1256.979756005846,1271.073491533156,8764283,1258.2496643066406,1253.4119946289063,-1.1587600097353934
2025-02-10,1248.6629638671875,1261.461821832557,1240.5952102474196,1259.469777897567,6970972,1258.99169921875,1252.3064086914062,-1.0302329044276082
2025-02-11,1229.937744140625,1259.5196705337273,1225.2066396338644,1259.5196705337273,8859714,1258.1276550292969,1250.5444458007812,-1.4996216167547205
2025-02-12,1211.7105712890625,1222.0193743195214,1188.6027887286011,1214.5989377224967,21131654,1255.6425842285157,1248.703798828125,-1.4819589803139244
2025-02-13,1211.2623291015625,1223.1150152108587,1207.1786632211406,1212.2086229517822,8511216,1251.3472412109375,1246.5932275390626,-0.03699251274362769
2025-02-14,1212.40771484375,1219.1308629852126,1200.6546072366423,1214.1507532507958,10298145,1246.95478515625,1244.7147290039063,0.09456132785348181
2025-02-17,1220.02734375,1222.6169765728448,1199.7084711054922,1206.2821918357026,8166683,1244.5244934082032,1243.3153173828125,0.6284708364159508
2025-02-18,1220.525390625,1225.0074896525716,1211.2623373341316,1219.9775298877432,6673250,1241.9497802734375,1242.1310498046876,0.04082259939102162
2025-02-19,1222.567138671875,1227.8461038341088,1212.706618273488,1214.6488125132394,6217338,1240.1469787597657,1241.120087890625,0.16728435660231522
2025-02-20,1228.0950927734375,1234.4198079853766,1217.1388510698625,1219.0810452834291,7795582,1239.484619140625,1240.5244653320312,0.4521595523635513
2025-02-21,1223.264404296875,1235.0672403005465,1217.2882724889691,1223.8121434284387,6904025,1239.4248596191405,1239.6340209960938,-0.3933480806973422
2025-02-24,1209.718505859375,1218.3838481751116,1205.68456833515,1211.7105497558396,7172498,1238.4363037109374,1238.5632958984374,-1.107356544498339
2025-02-25,1199.21044921875,1216.1428226711741,1196.7203942992758,1206.1826029932777,11552182,1236.8675659179687,1237.7405810546875,-0.8686365125215811
2025-02-27,1202.298095703125,1210.166693583284,1195.8738026303336,1207.975493883109,11509215,1234.57919921875,1236.8212524414062,0.25747328055609753
2025-02-28,1195.325927734375,1212.5073065135477,1188.5530513693543,1197.218393771922,23007298,1231.3421264648437,1236.2166674804687,-0.579903436066953
2025-03-03,1166.5906982421875,1201.6506219268736,1151.4013636439433,1199.2104168056296,17944938,1226.6931945800782,1235.5383740234374,-2.403966050217987
2025-03-04,1157.2779541015625,1169.3297956512124,1154.9373267832577,1157.576687742468,11377373,1222.5098999023437,1234.3351782226562,-0.7982871931567215
2025-03-05,1170.9234619140625,1178.2940491759787,1152.3974766666165,1156.3815647449799,8664095,1217.0517028808595,1233.3959301757814,1.1791037549914618
2025-03-06,1204.7882080078125,1209.1208794668382,1180.4355183146993,1192.2383549047067,14468014,1213.6353515625,1233.2574829101563,2.892140024113332
2025-03-07,1244.828369140625,1249.8084792402678,1207.178688153437,1211.1627762331514,16474965,1212.0541687011719,1233.8301953125,3.3234190762060356
2025-03-10,1233.4736328125,1252.9956391209716,1230.4855669004469,1240.0473535020744,11931051,1210.6447998046874,1234.3819921875,-0.912152760140239
2025-03-11,1242.3382568359375,1244.5294565449083,1224.858022557904,1235.0672477916657,10089838,1210.328564453125,1235.0164599609375,0.7186715457569104
2025-03-12,1252.0494384765625,1257.9757204337955,1239.0513034201438,1252.995610693361,11977555,1211.434149169922,1235.7296118164063,0.7816857918678366
2025-03-13,1242.9359130859375,1259.1212710412995,1238.901975238559,1255.0376050433522,9505270,1212.9954162597655,1235.8511279296874,-0.7278886208929469
2025-03-17,1233.9217529296875,1252.3980085038181,1228.1946267891797,1237.208673957254,16640917,1214.1283874511719,1235.606103515625,-0.7252312899922453
